id,name,slug,released,metacritic,rating,ratings_count,platforms,genres,stores,added,tags
3498,Grand Theft Auto V,grand-theft-auto-v,2013-09-17,92,4.47,7235,PC|PlayStation 5|Xbox Series S/X|PlayStation 4|PlayStation 3|Xbox 360|Xbox One,Action,Steam|PlayStation Store|Epic Games|Xbox 360 Store|Xbox Store,22280,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod
3328,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,2015-05-18,92,4.64,7052,PlayStation 5|Xbox Series S/X|macOS|PlayStation 4|Nintendo Switch|PC|Xbox One,Action|RPG,GOG|PlayStation Store|Steam|Xbox Store|Nintendo Store,21954,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings
4200,Portal 2,portal-2,2011-04-18,95,4.58,5991,PlayStation 3|PC|Xbox 360|Linux|macOS|Xbox One,Shooter|Puzzle,Xbox Store|Steam|PlayStation Store|Xbox 360 Store,20716,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science
4291,Counter-Strike: Global Offensive,counter-strike-global-offensive,2012-08-21,81,3.57,3603,PC|Linux|Xbox 360|PlayStation 3,Shooter,PlayStation Store|Steam|Xbox 360 Store,18318,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading
5286,Tomb Raider (2013),tomb-raider,2013-03-05,86,4.06,4048,PlayStation 3|Xbox 360|macOS|PC|Xbox One|PlayStation 4,Action,Xbox 360 Store|Steam|PlayStation Store|Google Play|App Store|Epic Games,17697,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft
13536,Portal,portal,2007-10-09,90,4.49,4933,macOS|PC|Android|PlayStation 3|Xbox 360|Linux|Nintendo Switch,Action|Puzzle,Steam|Google Play,17668,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science
12020,Left 4 Dead 2,left-4-dead-2,2009-11-17,89,4.09,3371,Xbox 360|Linux|PC|macOS,Action|Shooter,Steam|Xbox 360 Store,17437,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK
5679,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,2011-11-11,94,4.42,4843,PC|Xbox Series S/X|PlayStation 5|Xbox One|PlayStation 4|Nintendo Switch|Xbox 360|PlayStation 3,Action|RPG,PlayStation Store|Steam|Nintendo Store|Xbox 360 Store,16689,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons
28,Red Dead Redemption 2,red-dead-redemption-2,2018-10-26,96,4.59,5372,PC|PlayStation 4|Xbox One,Action,PlayStation Store|Epic Games|Steam|Xbox Store,16603,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person
4062,BioShock Infinite,bioshock-infinite,2013-03-26,94,4.38,4139,PlayStation 4|Xbox 360|Nintendo Switch|Linux|PC|PlayStation 3|Xbox One,Action|Shooter,Epic Games|App Store|Xbox Store|Nintendo Store|PlayStation Store|Steam|Xbox 360 Store,16014,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political
13537,Half-Life 2,half-life-2,2004-11-16,96,4.48,4029,PC|macOS|Xbox 360|Linux|Xbox|Android,Action|Shooter,Steam|Google Play,15972,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Zombies|Moddable|Captions available|Physics|Aliens|Dystopian|Includes Source SDK|Silent Protagonist|vr mod
802,Borderlands 2,borderlands-2,2012-09-18,89,4.02,3283,PlayStation 3|macOS|PC|Android|Linux|PS Vita|Xbox 360,Action|Shooter|RPG,PlayStation Store|Google Play|Steam|Xbox 360 Store|App Store|Xbox Store,15934,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|cooperative|Sci-fi|FPS|Online Co-Op|Funny|Comedy|Action RPG|Futuristic|Memes|Stylized|Dark Humor|Loot
3439,Life is Strange,life-is-strange-episode-1-2,2015-01-29,83,4.12,3743,iOS|PC|Linux|PlayStation 3|macOS|Xbox 360|Android|PlayStation 4|Xbox One,Adventure,GOG|PlayStation Store|Steam|Xbox Store|Google Play|Xbox 360 Store|App Store,15842,Singleplayer|Full controller support|Atmospheric|steam-trading-cards|Great Soundtrack|Story Rich|Third Person|Female Protagonist|Dark|Point & Click|Mystery|Short|Choices Matter|Memes|Walking Simulator|Multiple Endings|Story|Episodic|Soundtrack|Time Travel|Time Manipulation|student|strange|photography
4286,BioShock,bioshock,2007-08-21,96,4.36,3341,PlayStation 3|macOS|PC|Xbox 360,Action|Shooter,PlayStation Store|App Store|Xbox Store|Steam|Xbox 360 Store,14687,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Classic|Action RPG|Dark|Dystopian|Steampunk|Alternate History|Political|Underwater
32,Destiny 2,destiny-2,2017-09-06,82,3.52,2655,PlayStation 4|Xbox One|PC|Web|Xbox Series S/X|PlayStation 5,Action|Shooter,Epic Games|PlayStation Store|Xbox Store|Steam,14551,Singleplayer|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|Co-op|Open World|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Exploration|Free to Play|Online multiplayer|Action-Adventure|PvP|Space|combat|Futuristic|Aliens|Story|3rd-Person Perspective|online|MMORPG|PvE|Loot|Lore-Rich|city|console|friends|Masterpiece|weapons|skill|destroy|collect|hunt|gun|rain|enemy|quick|darkness|defender
58175,God of War (2018),god-of-war-2,2018-04-20,94,4.55,5060,PC|PlayStation 4,Action,GOG|PlayStation Store|Steam|Epic Games,14355,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|RPG|Story Rich|Third Person|Fantasy|Gore|Exploration|Violent|Action-Adventure|Action RPG|Hack and Slash|exclusive|3D|Crafting|combat|true exclusive|3rd-Person Perspective|Blood|PvE|Emotional|Souls-like|Mythology|Remote Play on TV
3070,Fallout 4,fallout-4,2015-11-09,84,3.81,3387,PlayStation 4|PC|PlayStation 5|Xbox One,Action|RPG,PlayStation Store|Xbox Store|Steam,14183,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Sci-fi|FPS|Exploration|Sandbox|Survival|Action RPG|Third-Person Shooter|Post-apocalyptic
3939,PAYDAY 2,payday-2,2013-08-13,79,3.52,2225,Linux|PC|Xbox One,Action|Shooter,Epic Games|PlayStation Store|Steam|Nintendo Store|Xbox 360 Store,14110,Singleplayer|Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Great Soundtrack|Co-op|cooperative|First-Person|FPS|Online Co-Op|Funny|Stealth|Tactical|In-App Purchases|Team-Based|Crime|PvE|Heist|Gun Customization
1030,Limbo,limbo,2010-07-21,88,4.14,3370,PC|Android|PS Vita|PlayStation 4|PlayStation 3|Xbox 360|Linux|macOS|iOS|Xbox One|Nintendo Switch,Action|Adventure|Indie|Puzzle|Platformer,App Store|PlayStation Store|Xbox Store|Steam|GOG|Xbox 360 Store|Nintendo Store|Google Play|Epic Games,14069,Singleplayer|Full controller support|Atmospheric|2D|Horror|Difficult|Action-Adventure|Pixel Graphics|Controller|Dark|controller support|Short|Dark Fantasy|Physics|Cinematic|Side Scroller|combat|Linear|Surreal|Puzzle-Platformer|Minimalist|Family Sharing|2D Fighter|Noir|2D Platformer|2D-платформер|2D-файтинг
11859,Team Fortress 2,team-fortress-2,2007-10-10,92,3.68,2924,Linux|macOS|PC,Action|Shooter,Steam,14003,Steam Achievements|Multiplayer|steam-trading-cards|Co-op|cooperative|First-Person|Partial Controller Support|FPS|Online Co-Op|Funny|Comedy|Free to Play|Tactical|stats|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Moddable|In-App Purchases|Captions available|Crafting|Team-Based|Competitive|Valve Anti-Cheat enabled|Robots|Commentary available|Cartoony|Cartoon|Class-Based|Trading
2454,DOOM (2016),doom,2016-05-12,85,4.38,3591,PC|PlayStation 4|Nintendo Switch|Xbox One,Action|Shooter,GOG|Steam|PlayStation Store|Nintendo Store|Xbox Store,13946,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|cooperative|First-Person|Sci-fi|Partial Controller Support|Horror|FPS|Gore|Difficult|Classic|Zombies|Memes|Fast-Paced|Remake|Blood|Demons
41494,Cyberpunk 2077,cyberpunk-2077,2020-12-10,73,4.22,2911,Nintendo Switch|PlayStation 4|PC|Xbox Series S/X|PlayStation 5|Xbox One,Action|Shooter|RPG,PlayStation Store|Xbox Store|Steam|Epic Games|GOG,13758,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Sci-fi|FPS|Exploration|Sandbox|Violent|Action-Adventure|Action RPG|role-playing|Nudity|Mature|Cinematic|Futuristic|Sexual Content|Cyberpunk|Crime|Robots|3rd-Person Perspective|Blood|America|Masterpiece|Soundtrack|Hacking|Role Playing Game|immersive|Photorealistic
422,Terraria,terraria,2011-05-16,81,4.07,2444,Xbox 360|Wii U|Nintendo 3DS|Xbox One|PlayStation 4|iOS|PC|macOS|Linux|Nintendo Switch|PlayStation 3|PS Vita|Android,Action|Indie|Platformer,Xbox Store|Steam|GOG|Nintendo Store|App Store|Google Play|PlayStation Store,13449,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|2D|Online Co-Op|Exploration|Sandbox|Survival|Online multiplayer|Pixel Graphics|role-playing|Family Friendly|controller support|Replay Value|Crafting|Building|overlay
10213,Dota 2,dota-2,2013-07-09,90,3.07,2828,Linux|macOS|PC,Action|Massively Multiplayer,Steam,13127,Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Online Co-Op|Fantasy|Difficult|Free to Play|Action RPG|Steam Workshop|PvP|In-App Purchases|Character Customization|Replay Value|Team-Based|RTS|Competitive|Valve Anti-Cheat enabled|Tower Defense|MOBA|e-sports|SteamVR Collectibles
766,Warframe,warframe,2013-03-25,73,3.42,2099,iOS|Xbox Series S/X|PlayStation 5|PlayStation 4|Xbox One|Nintendo Switch|PC,Action|Shooter|RPG|Massively Multiplayer,App Store|Epic Games|PlayStation Store|Steam|Xbox Store|Nintendo Store,13107,Singleplayer|Multiplayer|steam-trading-cards|RPG|Co-op|cooperative|Third Person|Sci-fi|Partial Controller Support|FPS|Online Co-Op|Free to Play|Third-Person Shooter|Space|role-playing|Hack and Slash|In-App Purchases|Futuristic|Parkour|Cyberpunk|PvE|Ninja|looter shooter
